Step,Latitude,Longitude,Altitude(ft),ClimbRate(ft/min),WindEffect,Turbulence
1,41.532374540118845,-93.6482509197623,3.3121546422673176,198.72927853603906,-12.54598811526375,135.21429192297484
2,41.53644375864769,-93.5992948356458,9.190779172702337,352.71747182610113,23.19939418114051,29.59754525911098
3,41.53957954805221,-93.55220560977793,17.761930397811156,514.269073506529,-34.398135955756345,-103.2016438991392
4,41.543193377729814,-93.5041603033639,29.118360904002444,681.3858303714771,-44.19163878318005,109.85284373248055
5,41.54744817383527,-93.45483306409416,43.38527970712316,856.0151281872429,10.11150117432088,62.421773338813644
6,41.55057940802371,-93.40775294865846,60.669328754456245,1037.0429428399852,-47.94155057041976,140.9729556485983
7,41.55510303087609,-93.35788805589488,81.1088294192178,1226.3700398856931,33.24426408004217,-86.29826679651715
8,41.55816417790838,-93.31094811477146,104.81416700209337,1422.3202549725343,-31.817503279289937,-94.97864704396986
9,41.56199835989002,-93.26246210374937,131.8903678436444,1624.572050493062,-19.57577570404623,7.426929489671352
10,41.56583782737159,-93.21396552172742,162.46096053512812,1834.235561489022,-6.805498135788424,-62.631257940587425
11,41.569729499953546,-93.16536452950466,196.64272657900813,2050.9059626328003,11.185289472237947,-108.15184180438744
12,41.57312155641324,-93.11776276952645,234.54206485649658,2273.9602966493067,-20.785535146478185,-40.09144701189249
13,41.5769972464548,-93.06919374238451,276.26213961118026,2503.2044852810227,-4.393001578296407,85.55278841790408
14,41.58045261495863,-93.02146535831803,321.9263975425275,2739.8554758808377,-30.032621784164025,4.270331524083481
15,41.584557120451215,-92.97243870027404,371.65857488964326,2983.9306408269445,9.241456886204247,-136.0648761840007
16,41.58828401544014,-92.92416726323738,425.56409134943465,3234.330987587482,10.754485190143836,-98.84276289381255
17,41.5914532868871,-92.8770110732846,483.73357373544394,3490.1689431605573,-43.49484070147205,134.665661176
18,41.596065632033074,-92.82696873593385,546.2874844429064,3753.234642447746,46.563203307455936,92.51920443493835
19,41.59911637847505,-92.78004959599107,613.3552829191908,4024.0679085770635,-19.53862308266293,-120.69836579808484
20,41.603207762438274,-92.7310491810058,685.0323184774026,4300.622133492705,18.42330265121569,-17.95425187811961
21,41.606357332352495,-92.68393239411854,761.4291408976701,4583.809345216056,-37.79617651552212,-1.4469269666189444
22,41.609981447344644,-92.63586651707541,842.6432820500493,4872.848469142748,-46.56114788847816,122.79612062363462
23,41.613917603511005,-92.58717655768386,928.7927955833642,5168.970811998894,-24.12200183999831,48.75668530619459
24,41.61768229931138,-92.53882951902429,1019.9874319414178,5471.678181483211,-18.828892391058904,6.020406353343244
25,41.62162906322052,-92.49011834414719,1116.3427171739017,5781.317113949037,4.671027934327965,-94.54366334234189
26,41.625763702274824,-92.44103141897976,1217.946022213507,6096.198302376312,46.95846277645585,82.53984700833436
27,41.62944538129451,-92.39285041388158,1324.9037898135755,6417.466056004117,43.949894156418914,118.44820512829465
28,41.63281554703764,-92.34529243533649,1437.3207379607957,6745.016888833213,9.789997881108514,126.56227050693505
29,41.63601790426676,-92.29807007381943,1555.3215801915028,7080.050533842426,-41.15074979480805,-91.20514127425643
30,41.6396864037595,-92.24991542777512,1679.0009658759238,7420.763141065268,-45.47727110894619,-52.400900771020694
31,41.64374161846616,-92.20098735130297,1808.4642609975772,7767.797707299198,-11.132271031051799,-68.59529046783123
32,41.6478934433915,-92.15186605439347,1943.8107182936692,8120.787437765522,32.873750915192936,-42.97400199192322
33,41.65105740509792,-92.1047204839218,2085.1368392959243,8479.567260135298,-21.906549031261925,12.80882494747454
34,41.6546291595191,-92.05675932802063,2232.536725080894,8843.993147098177,-35.907577502523736,90.6590942262119
35,41.65827455064368,-92.00865089871265,2386.106002418999,9214.156640286303,-42.54493563202292,146.0660809801552
36,41.66268400947518,-91.95901433399081,2545.966353272122,9591.62105118736,27.22447692966574,-90.38529553974828
37,41.66562905152889,-91.91230660282457,2712.1919558649747,9973.536155571172,-49.44778828763976,94.63842853645025
38,41.670042151461494,-91.86266275590054,2884.885969464334,10361.640815961544,20.685734384761712,68.70215041229619
39,41.67381832917022,-91.81429275342427,3064.1615588233794,10756.535361542732,27.127034668594575,-127.78660447977289
40,41.67711728925796,-91.76687718618997,3250.107382232418,11156.749404542315,-14.153427145572739,-115.2392821424611
41,41.68133369166117,-91.71762673432472,3442.8029456083445,11561.73380255559,36.310342587559354,36.989438048267374
42,41.68451325096603,-91.67044996865617,3642.3600594971253,11973.426833326848,-16.91019751473508,-130.93249491419292
43,41.688205099968776,-91.62224862359186,3848.8585561005043,12389.909796202746,-18.90176782843378,-52.44500339197589
44,41.69233548853128,-91.57317019940803,4062.38156679633,12811.380641749549,22.960617833806406,41.26724140656394
45,41.6962048598014,-91.52461380980897,4283.024724010363,13238.589432841978,38.72127425763266,-8.335522451415212
46,41.69914900601064,-91.47790787033166,4510.867448477622,13670.56346803555,-38.04057540616983,63.9734361668985
47,41.70350196151921,-91.4283843122557,4746.001926691283,14108.06869281968,26.078504861689744,18.38315927084887
48,41.707223908356426,-91.38012277152244,4988.513869577381,14550.716573165859,27.0967179954561,-1.861321090682777
49,41.71068743871173,-91.33237806375301,5238.488351871409,14998.468937641635,2.2732829381994057,-21.73769449243511
50,41.713901889714975,-91.28513151468769,5496.016412646221,15451.68364648878,-47.45808732559048,-117.63257190200866
51,41.717619664479805,-91.23687831809922,5761.161973082517,15908.733626177738,-46.85708143132658,40.92312337913412
52,41.721614355981075,-91.18807128803786,6034.012100079524,16371.007619820459,-18.564401892367332,2.571207349410831
53,41.72591933117981,-91.13864369058156,6314.651386375189,16838.357177739865,40.7566473926093,-75.21233125533752
54,41.7291339123348,-91.09139688121276,6603.140423523874,17309.342228921145,-8.961707696437028,76.6653415629146
55,41.73266409228314,-91.04351887425724,6899.577319548622,17786.213761484865,-27.120183450837754,-126.9060270513621
56,41.736436810276444,-90.99515579121181,7204.028714225445,18267.083680609354,-21.0248547086232,-101.63361382379867
57,41.740788521181756,-90.94563472234238,7516.549297634762,18751.23500455907,42.96976523425731,92.43611386932508
58,41.7442039919918,-90.89798613366345,7837.212383270447,19239.785138141116,13.340375651042347,111.43817705631531
59,41.748086025018075,-90.84940442055209,8166.1065556274225,19733.650341418524,30.367207689911446,-94.02898233418925
60,41.751886676645555,-90.80098547023832,8503.284251705583,20230.6617646897,39.25589984899778,11.802672574695217
61,41.7555133225081,-90.75291453145438,8848.803547390571,20731.15774109929,30.744015516406254,118.82738997704797
62,41.758735650533794,-90.70565222834418,9202.75305182636,21236.97026614729,-18.199652502813613,-116.98442264169697
63,41.762357346927246,-90.65759118849846,9565.180407007894,21745.641310892046,-27.206483745805834,-21.867663412123107
64,41.76665919123651,-90.60816985282109,9936.136114458748,22257.342447051265,31.801476592249312,108.21917497690303
65,41.769559893307004,-90.5615508016213,10315.691642766447,22773.331698461934,-49.30478694688093,3.2241907732697195
66,41.7736821168855,-90.51248870740547,10703.909344865056,23293.06212591658,-8.2588996851221,-83.36765685878092
